,loan_amnt,fico,loan_age_in_months,annual_inc,logged_inc,delinq_2yrs,mths_since_last_delinq
338,15207.66,580.0,7,25175.157572041695,10.133612976635366,0.0,-1
340,21038.28,564.0,8,42107.7509266123,10.647987110245245,0.0,-1
341,10982.25,472.0,7,30600.696594427245,10.32877805220513,0.0,-1
342,21553.17,513.0,7,32365.716907675192,10.38485502144262,0.0,-1
343,17082.75,550.0,7,37899.28101889893,10.542687420412975,0.0,-1
347,17243.64,563.0,7,29730.413793103446,10.299925834264052,4.8,6
348,18028.53,518.0,7,25905.817456093664,10.162222834670473,0.0,-1
351,18984.45,544.0,7,26850.71503404924,10.198047730273267,0.0,-1
354,9149.92,546.0,7,30201.447432762838,10.31564513045162,0.0,-1
355,21451.92,574.0,8,24636.403232666948,10.1119804342922,12.0,7
356,15229.0,632.0,7,23429.230769230766,10.061739699944145,0.0,-1
357,22635.77,531.0,6,36728.713341346156,10.511314108016263,0.0,-1
358,14638.46,607.0,7,42682.33477321814,10.661540408071724,12.0,3
359,26990.99,591.0,6,49778.46516393443,10.815337743062456,0.0,-1
362,23974.44,655.0,7,40762.58690176322,10.61551995199995,0.0,-1
363,23920.0,578.0,6,34666.66666666667,10.4535338894554,0.0,-1
364,17581.63,549.0,7,36941.94630350195,10.51710294060299,0.0,-1
365,13790.0,555.0,7,38345.00514933058,10.554379554488444,0.0,-1
366,25763.13,562.0,6,36960.91976620616,10.517616410895284,0.0,-1
367,24203.8,559.0,7,37492.97762478485,10.531908931083462,0.0,-1
368,11498.24,590.0,6,26220.648648648646,10.174302495709203,0.0,-1
372,18163.14,521.0,6,32305.98023715415,10.38300763873434,0.0,-1
373,14953.0,522.0,6,33228.88888888889,10.411174923801616,6.0,5
377,13562.83,621.0,6,28212.35824345146,10.247515396512423,0.0,-1
380,28566.08,515.0,6,55170.54077253219,10.918184408149418,0.0,-1
383,12214.99,609.0,6,39927.93341404358,10.594831443497373,0.0,-1
387,17246.89,651.0,6,37705.75141700405,10.537567919280606,12.0,5
388,14989.6,540.0,6,25106.650124069478,10.13088803521015,0.0,-1
389,13644.35,505.0,6,27492.347014925374,10.221662954558363,0.0,-1
393,15837.5,587.0,6,29470.192970365264,10.291134623737626,0.0,-1
398,29610.0,489.0,5,52770.29702970297,10.873703755144588,0.0,-1
399,21545.07,587.0,5,42214.578374455734,10.650520899477169,0.0,-1
409,14394.95,542.0,6,34486.570541259985,10.448325267564615,0.0,-1
410,18851.0,594.0,6,36962.74509803922,10.517665795130679,0.0,-1
411,28461.79,512.0,5,59571.18837209303,10.994927319594357,0.3870967741935484,5
414,22245.34,547.0,5,78718.76539973788,11.273636848164859,0.0,-1
415,21896.53,486.0,6,33496.10821529745,10.4191845383869,0.0,-1
416,9559.0,534.0,61,17408.732118758435,9.764727205225736,0.0,-1
417,10104.15,574.0,61,15628.138022922636,9.65682828790731,0.0,-1
418,15784.69,478.0,61,45178.025779427364,10.718366092286105,0.0,-1
419,17855.92,501.0,62,56300.383271028026,10.938456621760524,0.0,-1
420,11897.93,536.0,62,21351.40496675532,9.968872822897026,0.0,-1
421,12993.92,519.0,62,34826.80246276067,10.458142555033264,0.0,-1
422,20945.91,583.0,7,56874.25662977867,10.948598085922185,0.0,-1
424,11732.5,591.0,6,19238.163730255157,9.864651279449562,18.0,1
427,12384.7,478.0,13,41084.299999999996,10.62338133237178,2.0,10
428,23747.13,498.0,7,81587.27338853503,11.30942856541285,0.0,-1
